#"Time (ps)" "Potential Energy (kJ/mole)" "Temperature (K)" "Box Volume (nm^3)" "Density (g/mL)" "Speed (ns/day)" "Elapsed Time (s)"
0.10000000000000007 -3590616.441766998 239.91034811986606 148.37410801535628 1.8563965158837346 0 0.0007064342498779297
0.20000000000000015 -3591710.8955362826 246.5430446345332 148.37410801535628 1.8563965158837346 31.1 0.2779526710510254
0.3000000000000002 -3592414.34742721 250.45064767380376 148.37410801535628 1.8563965158837346 28.2 0.6121697425842285
0.4000000000000003 -3592096.9061707314 248.82965249795558 148.37410801535628 1.8563965158837346 29.2 0.8873164653778076
0.5000000000000003 -3590960.294879323 242.12301091248509 148.37410801535628 1.8563965158837346 28.6 1.2084393501281738
0.6000000000000004 -3590410.0676668156 238.8445106860762 148.37410801535628 1.8563965158837346 29.1 1.484412670135498
0.7000000000000005 -3591548.915025363 245.56942927513623 148.37410801535628 1.8563965158837346 27.9 1.85951828956604
0.8000000000000006 -3591826.9227897814 247.28795464278932 148.37410801535628 1.8563965158837346 27.7 2.182034730911255
0.9000000000000007 -3591237.0156125603 243.80113236590796 148.37410801535628 1.8563965158837346 28.1 2.4581315517425537
1.0000000000000007 -3591321.7484862674 244.3182259201665 148.37410801535628 1.8563965158837346 28.5 2.73276686668396
1.0999999999999897 -3591191.7744585853 243.51629199597275 148.37410801535628 1.8563965158837346 28.7 3.0084309577941895
1.1999999999999786 -3591590.2882407983 245.84461273882647 148.37410801535628 1.8563965158837346 28.6 3.3264710903167725
1.2999999999999676 -3591499.8504744964 245.35372648097712 148.37410801535628 1.8563965158837346 28.8 3.6024961471557617
1.3999999999999566 -3591273.4609758137 244.08909892095033 148.37410801535628 1.8563965158837346 29 3.876601219177246
1.4999999999999456 -3591964.790142721 248.0225377252413 148.37410801535628 1.8563965158837346 28.8 4.196201801300049
1.5999999999999346 -3591045.639698711 242.64779656916429 148.37410801535628 1.8563965158837346 29 4.4702348709106445
1.6999999999999236 -3591310.859704307 244.1926557735524 148.37410801535628 1.8563965158837346 29.1 4.743980407714844
1.7999999999999126 -3591295.043140132 244.10913919604315 148.37410801535628 1.8563965158837346 29.3 5.019071578979492
1.8999999999999015 -3591819.338801491 247.22436549936813 148.37410801535628 1.8563965158837346 29.1 5.336794853210449
1.9999999999998905 -3592096.428805247 248.78766718629825 148.37410801535628 1.8563965158837346 29.3 5.6111884117126465
2.0999999999998797 -3591340.9769169427 244.30653523980965 148.37410801535628 1.8563965158837346 29.4 5.885826587677002
2.1999999999998687 -3592112.7025226024 248.8720809834488 148.37410801535628 1.8563965158837346 29.2 6.2072670459747314
2.2999999999998577 -3592011.4314598553 248.29914077408833 148.37410801535628 1.8563965158837346 29.3 6.4828832149505615
2.3999999999998467 -3591670.8704478596 246.26186525450737 148.37410801535628 1.8563965158837346 29.3 6.777517557144165
2.4999999999998357 -3592062.1867128704 248.54323359332668 148.37410801535628 1.8563965158837346 29.4 7.054386854171753
2.5999999999998247 -3591996.432637019 248.2278811336378 148.37410801535628 1.8563965158837346 29.3 7.374668598175049
2.6999999999998137 -3591959.7845648513 248.07219407858992 148.37410801535628 1.8563965158837346 29.4 7.647818326950073
2.7999999999998026 -3591779.2725307303 246.85292535648748 148.37410801535628 1.8563965158837346 29.4 7.923040866851807
2.8999999999997916 -3592170.9296251535 249.28678730534887 148.37410801535628 1.8563965158837346 29.3 8.245731830596924
2.9999999999997806 -3592198.3101533568 249.47737337601578 148.37410801535628 1.8563965158837346 29.4 8.522608518600464
