#"Time (ps)" "Potential Energy (kJ/mole)" "Temperature (K)" "Box Volume (nm^3)" "Density (g/mL)" "Speed (ns/day)" "Elapsed Time (s)"
0.10000000000000184 -3589776.457124537 247.1877684144662 148.37410801535628 1.8563965158837346 0 0.0003325939178466797
0.1999999999999943 -3590316.4765364 261.0707107242793 148.37410801535628 1.8563965158837346 5.09 1.698594331741333
0.2999999999999833 -3589703.089762628 265.93673602969847 148.37410801535628 1.8563965158837346 5.1 3.3878417015075684
0.39999999999997227 -3588650.7447132748 266.7652871914979 148.37410801535628 1.8563965158837346 5.1 5.086193323135376
0.49999999999996125 -3588784.7463879436 270.07249928515307 148.37410801535628 1.8563965158837346 5.05 6.837333679199219
0.5999999999999502 -3587168.4602928143 267.6215064111177 148.37410801535628 1.8563965158837346 5.06 8.540255546569824
0.6999999999999392 -3587237.503296903 274.0615942423248 148.37410801535628 1.8563965158837346 5.06 10.247296571731567
0.7999999999999282 -3587217.8606298394 279.90931212543717 148.37410801535628 1.8563965158837346 5.04 12.011885404586792
0.8999999999999172 -3586430.7788129835 278.93460357879843 148.37410801535628 1.8563965158837346 5.04 13.708697080612183
0.9999999999999062 -3585713.0836964743 278.47488560834137 148.37410801535628 1.8563965158837346 5.05 15.40924620628357
