#"Time (ps)" "Potential Energy (kJ/mole)" "Temperature (K)" "Box Volume (nm^3)" "Density (g/mL)" "Speed (ns/day)" "Elapsed Time (s)"
0.009999999999999995 -3594157.0761417034 258.4130472052408 148.37410801535628 1.8563965158837346 0 0.0006756782531738281
0.019999999999999934 -3594745.2754897345 261.90800993585 148.37410801535628 1.8563965158837346 3.17 0.2723662853240967
0.029999999999999874 -3589724.588582498 232.04199651449747 148.37410801535628 1.8563965158837346 2.88 0.600085973739624
0.04000000000000012 -3593951.8892871607 257.18080854604364 148.37410801535628 1.8563965158837346 2.98 0.8697230815887451
0.050000000000000405 -3592444.2064348944 248.21742250796945 148.37410801535628 1.8563965158837346 2.92 1.1845715045928955
0.06000000000000069 -3591561.0497965426 242.96668614436308 148.37410801535628 1.8563965158837346 2.97 1.4569423198699951
0.07000000000000098 -3592888.2082547788 250.86072624778492 148.37410801535628 1.8563965158837346 3 1.7279760837554932
0.08000000000000126 -3591997.8142363047 245.56543987492336 148.37410801535628 1.8563965158837346 2.85 2.1193697452545166
0.09000000000000155 -3594627.088029123 261.2052074414555 148.37410801535628 1.8563965158837346 2.89 2.3909060955047607
0.10000000000000184 -3591091.204220182 240.17697036611628 148.37410801535628 1.8563965158837346 2.92 2.6617305278778076
0.11000000000000212 -3593890.3559477595 256.8238790192495 148.37410801535628 1.8563965158837346 2.94 2.935411214828491
0.12000000000000241 -3590780.197892527 238.32663785070184 148.37410801535628 1.8563965158837346 2.92 3.2496750354766846
0.130000000000002 -3593608.741337876 255.15143585271989 148.37410801535628 1.8563965158837346 2.94 3.5211727619171143
0.1400000000000009 -3591737.6450418895 244.02251675271054 148.37410801535628 1.8563965158837346 2.96 3.790593147277832
0.1499999999999998 -3593372.0357175656 253.74048724258552 148.37410801535628 1.8563965158837346 2.94 4.108332395553589
0.1599999999999987 -3591938.7902582204 245.21701687314982 148.37410801535628 1.8563965158837346 2.96 4.380885124206543
0.1699999999999976 -3592023.9702231465 245.72636745864853 148.37410801535628 1.8563965158837346 2.97 4.651717185974121
0.1799999999999965 -3592156.178190482 246.51256078326637 148.37410801535628 1.8563965158837346 2.98 4.9231650829315186
0.1899999999999954 -3592081.1285335273 246.0641605834363 148.37410801535628 1.8563965158837346 2.97 5.236801862716675
0.1999999999999943 -3592532.0087770284 248.74857443712375 148.37410801535628 1.8563965158837346 2.98 5.507048606872559
0.2099999999999932 -3591917.4141119807 245.09955662802992 148.37410801535628 1.8563965158837346 2.99 5.77946662902832
0.2199999999999921 -3593091.261500861 252.0805986309636 148.37410801535628 1.8563965158837346 2.98 6.098430871963501
0.229999999999991 -3592041.3696175944 245.8356720288074 148.37410801535628 1.8563965158837346 2.98 6.371115207672119
0.2399999999999899 -3592761.5483819004 250.11855326778536 148.37410801535628 1.8563965158837346 2.99 6.641798257827759
0.2499999999999888 -3592067.9050282645 245.99517667824097 148.37410801535628 1.8563965158837346 3 6.912812948226929
0.2599999999999877 -3592605.3766482854 249.18937044237575 148.37410801535628 1.8563965158837346 2.96 7.296835660934448
0.2699999999999866 -3592169.08501245 246.59434017800154 148.37410801535628 1.8563965158837346 2.97 7.567506551742554
0.2799999999999855 -3592326.8436014266 247.53256562176935 148.37410801535628 1.8563965158837346 2.98 7.839722633361816
0.2899999999999844 -3592014.474595586 245.67769106343835 148.37410801535628 1.8563965158837346 2.96 8.159311056137085
0.2999999999999833 -3592651.232375498 249.4632777236218 148.37410801535628 1.8563965158837346 2.97 8.430402755737305
0.3099999999999822 -3592248.4342664755 247.06649472536947 148.37410801535628 1.8563965158837346 2.98 8.702486515045166
0.3199999999999811 -3592345.355081169 247.6416814634963 148.37410801535628 1.8563965158837346 2.98 8.974025249481201
0.32999999999998 -3591690.8258150844 243.7494904251328 148.37410801535628 1.8563965158837346 2.98 9.292423963546753
0.3399999999999789 -3593339.6834448855 253.55544193989033 148.37410801535628 1.8563965158837346 2.98 9.564245223999023
0.3499999999999778 -3592268.138268945 247.1835671792728 148.37410801535628 1.8563965158837346 2.99 9.83523941040039
0.35999999999997667 -3593094.691127561 252.10173498959725 148.37410801535628 1.8563965158837346 2.98 10.154220819473267
0.36999999999997557 -3591884.7823362285 244.90561573617867 148.37410801535628 1.8563965158837346 2.98 10.424615859985352
0.37999999999997447 -3593443.6579985246 254.17517241855643 148.37410801535628 1.8563965158837346 2.99 10.697532415390015
0.38999999999997337 -3592391.2947090934 247.91817415392953 148.37410801535628 1.8563965158837346 2.99 10.968202114105225
0.39999999999997227 -3592673.7068521036 249.6001215456497 148.37410801535628 1.8563965158837346 2.99 11.281910419464111
0.40999999999997117 -3592190.3551213597 246.72717602086047 148.37410801535628 1.8563965158837346 2.99 11.552123308181763
0.41999999999997006 -3592970.5000264538 251.36487021761795 148.37410801535628 1.8563965158837346 3 11.82126760482788
0.42999999999996896 -3592066.29983643 245.98671333969293 148.37410801535628 1.8563965158837346 2.99 12.139559030532837
0.43999999999996786 -3591967.054303311 245.3978040832387 148.37410801535628 1.8563965158837346 2.98 12.47781229019165
0.44999999999996676 -3592364.4838822316 247.76030757409777 148.37410801535628 1.8563965158837346 2.98 12.748772382736206
0.45999999999996566 -3592309.6435646983 247.43345020917988 148.37410801535628 1.8563965158837346 2.99 13.0200834274292
0.46999999999996456 -3592179.425671528 246.66067113620352 148.37410801535628 1.8563965158837346 2.98 13.335845708847046
0.47999999999996346 -3591670.1340894797 243.63362439166062 148.37410801535628 1.8563965158837346 2.98 13.607168674468994
