#"Time (ps)" "Potential Energy (kJ/mole)" "Temperature (K)" "Box Volume (nm^3)" "Density (g/mL)" "Speed (ns/day)" "Elapsed Time (s)"
9.999999999999831 1.9644969127041796e+37 1.0034389254018621e+18 148.37410801535628 1.8562200248406568 0 0.0003190040588378906
20.000000000000327 2.0464293361692587e+37 9.823585418089917e+17 148.37410801535628 1.8562200248406568 296 2.916522741317749
30.00000000000189 2.1510129145632474e+37 9.957712292959446e+17 148.37410801535628 1.8562200248406568 299 5.783808708190918
40.00000000000061 2.024104506225668e+37 9.855297159079089e+17 148.37410801535628 1.8562200248406568 300 8.650580644607544
49.99999999999862 2.0204154735367812e+37 9.80536839448529e+17 148.37410801535628 1.8562200248406568 294 11.74784803390503
59.99999999999663 2.0984093404276877e+37 1.0140338239255996e+18 148.37410801535628 1.8562200248406568 295 14.619983673095703
69.9999999999989 2.0562522911599999e+37 1.0156433854433944e+18 148.37410801535628 1.8562200248406568 297 17.473844051361084
80.00000000000402 2.0334457093879746e+37 1.006405167068056e+18 148.37410801535628 1.8562200248406568 297 20.33448815345764
90.00000000000914 2.0369474124162856e+37 1.003781086136406e+18 148.37410801535628 1.8562200248406568 298 23.230316638946533
100.00000000001425 2.117188486350325e+37 1.0031062511979447e+18 148.37410801535628 1.8562200248406568 298 26.076666116714478
